chemin,time(s),time(min),distance(m),passager(s),point(s)
0-1-2-5-8-11,3383,56min23s,6293,30,106
0-1-4-5-8-11,3735,62min15s,7067,30,100
0-1-4-7-8-11,3380,56min20s,6643,22,74
0-1-4-7-10-11,3594,59min54s,6706,21,72
0-1-4-7-10-13-14-11,4618,76min58s,9176,25,126
0-3-4-5-8-11,3735,62min15s,6507,30,115
0-3-4-7-10-11,3594,59min54s,6146,26,97
0-3-4-7-10-13-14-11,4618,76min58s,8616,30,161
0-3-6-7-8-11,3281,54min41s,6169,21,75
0-3-6-7-10-11,3467,57min47s,6232,20,73
0-3-6-7-10-13-14-11,4033,67min13s,8702,24,125
0-3-6-9-10-11,2929,48min49s,5752,19,70
0-3-6-9-10-13-14-11,3958,65min58s,8222,23,120
0-3-6-9-12-10-11,3467,57min47s,5930,27,105
0-3-6-9-12-10-13-14-11,4007,66min47s,8400,30,168
